13192  81.969  
13190  82.024  
13188  82.059  
13186  82.088  
13184  82.118  
13182  82.149  
13180  82.17  
13178  82.179  
13176  82.188  
13174  82.196  
13172  82.202  
13170  82.207  
13168  82.187  
13166  82.191  
13164  82.184  
13162  82.179  
13160  82.19  
13158  82.182  
13156  82.179  
13154  82.176  
13152  82.172  
13150  82.159  
13148  82.158  
13146  82.155  
13144  82.149  
13142  82.146  
13140  82.146  
13138  82.144  
13136  82.14  
13134  82.127  
13132  82.12  
13130  82.106  
13128  82.092  
13126  82.077  
13124  82.069  
13122  82.062  
13120  82.062  
13118  82.057  
13116  82.057  
13114  82.06  
13112  82.059  
13110  82.059  
13108  82.053  
13106  82.047  
13104  82.057  
13102  82.069  
13100  82.071  
13098  82.092  
13096  82.106  
13094  82.126  
13092  82.152  
13090  82.169  
13088  82.182  
13086  82.21  
13084  82.228  
13082  82.249  
13080  82.274  
13078  82.294  
13076  82.309  
13074  82.333  
13072  82.346  
13070  82.359  
13068  82.384  
13066  82.397  
13064  82.411  
13062  82.434  
13060  82.445  
13058  82.468  
13056  82.494  
13054  82.51  
13052  82.52  
13050  82.544  
13048  82.565  
13046  82.591  
13044  82.631  
13042  82.658  
13040  82.698  
13038  82.722  
13036  82.755  
13034  82.78  
13032  82.819  
13030  82.848  
13028  82.887  
13026  82.921  
13024  82.944  
13022  82.971  
13020  83.006  
13018  83.035  
13016  83.057  
13014  83.093  
13012  83.115  
13010  83.141  
13008  83.163  
13006  83.194  
13004  83.228  
13002  83.258  
13000  83.279  
12998  83.307  
12996  83.328  
12994  83.353  
12992  83.377  
12990  83.403  
12988  83.423  
12986  83.441  
12984  83.47  
12982  83.482  
12980  83.51  
12978  83.53  
12976  83.548  
12974  83.577  
12972  83.607  
12970  83.633  
12968  83.659  
12966  83.685  
12964  83.713  
12962  83.745  
12960  83.786  
12958  83.813  
12956  83.861  
12954  83.897  
12952  83.937  
12950  83.978  
12948  84.012  
12946  84.047  
12944  84.093  
12942  84.123  
12940  84.148  
12938  84.169  
12936  84.206  
12934  84.236  
12932  84.274  
12930  84.293  
12928  84.314  
12926  84.349  
12924  84.364  
